REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,CATEGORY,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
729,Indonesia,IDN,Asia Pacific,1/1/2004,5/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,25000,904234
731,Eritrea,ERI,Africa,2/1/2004,11/1/2004,2004,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,50000,4910430
720,Morocco,MAR,Middle East and North Africa,2/1/2004,12/1/2005,2004,Earthquake,earthquake,Natural Geophysical,Emergency appeal,30000,2832086
726,Madagascar,MDG,Africa,2/1/2004,6/1/2006,2004,Cyclone Gafilo,tropicalstorm,Natural Hydrometeorologic meteorological,Emergency appeal,25000,427000
733,Haiti,HTI,Asia Pacific,3/1/2004,12/1/2004,2004,Social unrest,civilunrest,Human related,Emergency appeal,missing data,1388000
735,Bosnia and Herzegovina,BIH,Europe,4/1/2004,7/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,8412,333000
734,Namibia,NAM,Africa,4/1/2004,6/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,50000,846000
722,Bangladesh,BGD,Asia Pacific,7/1/2004,6/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,1407500,7051000
723,India,IND,Asia Pacific,7/1/2004,10/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,200000,2034912
727,Myanmar,MMR,Asia Pacific,7/1/2004,9/1/2004,2004,Cyclone,tropicalstorm,Natural Hydrometeorologic meteorological,Emergency appeal,25000,413048
721,Kenya,KEN,Africa,8/1/2004,8/1/2005,2004,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,308000,2121677
725,Cuba,CUB,Americas,9/1/2004,7/1/2005,2004,Hurricane Charley ,tropicalstorm,Natural Hydrometeorologic Meteorological,Emergency appeal,25000,2419000
724,Haiti,HTI,Americas,9/1/2004,11/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,50000,11673000
718,Russia,RUS,Europe,9/1/2004,12/1/2007,2004,"Hostage Crisis in Beslan, North Ossetia",terrorism,Human related,Emergency appeal,5000,2590046
740,Colombia,COL,Americas,11/1/2004,8/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,47500,1996000
741,Indonesia,IDN,Asia Pacific,11/1/2004,12/1/2004,2004,Earthquake,earthquake,Natural Geophysical,Emergency appeal,468000,1200187
728,Philippines,PHL,Asia Pacific,11/1/2004,8/1/2005,2004,Typhoon,tropicalstorm,Natural Hydrometeorologic meteorological,Emergency appeal,300000,4193878
641,Eritrea,ERI,Africa,1/1/2005,10/1/2006,2005,Drought,drought,Natural Hydrometeorologic climatological,Emergency appeal,40000,5210000
646,Guyana,GUY,Americas,1/1/2005,9/1/2005,2005,Floods,floods,Natural Hydrometeorologic hydrological,Emergency appeal,57500,1383356
624,Afghanistan,AFG,Asia Pacific,2/1/2005,8/1/2005,2005,Severe winter,cold,Natural Hydrometeorologic climatological,Emergency appeal,22656,906913
