REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
2,Burundi,BDI,Africa,4/1/2011,5/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,695,29829
4,Russia,RUS,Europe,7/1/2011,1/1/2012,2011,Boat Accident ,Technological Transport accident ,DREF,1000,25358
6,Malta,MLT,Europe,2/1/2011,4/1/2011,2011,Population movement,Human related,DREF,1000,83603
7,Tanzania,TZA,Africa,3/1/2011,4/1/2011,2011,Explosion,Technological Industrial accident,DREF,1000,36210
9,Iraq,IRQ,Middle East and North Africa,4/1/2011,8/1/2011,2011,Flash Floods,Natural Hydrometeorologic hydrological,DREF,1000,165385
10,Gabon,GAB,Africa,1/1/2011,4/1/2011,2011,Violent wind and floods ,Natural Hydrometeorologic hydrological and climatological,DREF,1015,96960
13,Uganda,UGA,Africa,5/1/2011,9/1/2011,2011,Political disturbances,Human related,DREF,1500,99879
14,Central African Republic,CAF,Africa,6/2/2011,10/1/2011,2011,Violent Winds in Bangui,Natural Hydrometeorologic climatological,DREF,1626,114935
15,Georgia,GEO,Europe,6/1/2011,12/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,1750,59960
16,Central African Republic,CAF,Africa,10/1/2011,2/1/2012,2011,Floods in Bangui and Paoua,Natural Hydrometeorologic hydrological,DREF,1765,166245
17,Rwanda,RWA,Africa,5/1/2011,7/1/2011,2011,Heavy rainstorms and floods ,Natural Hydrometeorologic hydrological and meteorological,DREF,1860,149759
20,Honduras,HND,Americas,11/1/2011,1/1/2012,2011,Tropical Depression 12-E,Natural Hydrometeorologic meteorological,DREF,4000,220262
21,Senegal,SEN,Africa,12/1/2011,3/1/2012,2011,Food Insecurity,Human related,DREF,4000,166428
22,Laos,LAO,Asia Pacific,7/1/2011,1/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,329788
23,Tunisia,TUN,Middle East and North Africa,1/1/2011,5/1/2011,2011,Civil unrest ,Human related,DREF,5000,150000
24,Chile,CHL,Americas,8/1/2011,11/1/2011,2011,Severe Winter,Natural Hydrometeorologic climatological,DREF,5000,146890
25,Dominican Republic,DOM,Americas,9/1/2011,12/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,81845
26,India,IND,Asia Pacific,10/1/2011,12/1/2011,2011,Sikkim Earthquake,Natural Geophysical,DREF,5000,97137
27,Nicaragua,NIC,Americas,10/1/2011,1/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5000,235352
28,Senegal,SEN,Africa,8/1/2011,10/1/2011,2011,Floods in Thies,Natural Hydrometeorologic hydrological,DREF,5000,192662
29,Russia,RUS,Europe,9/1/2011,12/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5174,77905
31,Benin,BEN,Africa,7/1/2011,7/1/2010,2011,Floods,Natural Hydrometeorologic hydrological,DREF,5840,167241
32,Paraguay,PRY,Americas,8/1/2011,2/1/2012,2011,Hailstorms,Natural Hydrometeorologic hydrological,DREF,5873,185603
33,Nigeria,NGA,Africa,5/1/2011,10/1/2011,2011,Civil Unrest,Human related,DREF,7500,246829
34,Myanmar,MMR,Asia Pacific,3/1/2011,8/1/2011,2011,Earthquake,Natural Geophysical,DREF,7500,157534
35,Guatemala,GTM,Americas,10/1/2011,7/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,7500,715933
36,Guinea,GIN,Africa,9/1/2011,11/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,7500,261008
37,Mali,MLI,Africa,8/1/2011,11/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,7500,264684
38,Nepal,NPL,Asia pacific,9/1/2011,1/1/2012,2011,Earthquake,Natural Geophysical,DREF,7500,172417
39,South Africa,ZAF,Africa,1/1/2011,4/1/2011,2011,Floods ,Natural Hydrometeorologic hydrological,DREF,8870,177585
40,Nigeria,NGA,Africa,7/1/2011,11/1/2011,2011,Flash Floods,Natural Hydrometeorologic hydrological,DREF,9000,289282
41,Russia,RUS,Europe,6/1/2011,9/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,9000,149420
42,Egypt,EGY,Middle East and North Africa,2/1/2011,6/1/2011,2011,Unrest,Human related,DREF,10000,107672
43,Lesotho,LSO,Africa,2/1/2011,5/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,DREF,10000,244036
44,El Salvador,SLV,Americas,10/1/2011,6/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,10000,1174119
45,Ethiopia,ETH,Africa,10/1/2011,4/1/2012,2011,Population movement,Human related,Emergency appeal,10000,684476
46,Myanmar,MMR,Asia pacific,9/1/2011,3/1/2012,2011,Magway Floods,Natural Hydrometeorologic hydrological,DREF,10000,165670
47,Mauritania,MRT,Africa,12/1/2011,12/1/2012,2011,Food insecurity,Human related,Emergency appeal,10000,2131749
49,Niger,NER,Africa,8/1/2011,2/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,11200,250491
52,Costa Rica,CRI,Americas,10/1/2011,1/1/2012,2011,Tropical Depression 12-E,Natural Hydrometeorologic meteorological,DREF,12500,94374
53,Vanuatu,VUT,Asia Pacific,2/1/2011,5/1/2011,2011,Tropical Cyclone Vania,Natural Hydrometeorologic meteorological,DREF,14530,90322
54,Mozambique,MOZ,Africa,1/1/2011,4/1/2011,2011,Floods and Cholera ,Natural Hydrometeorologic and Biological,DREF,15000,345207
55,Niger,NER,Africa,10/1/2011,1/1/2012,2011,Cholera,Natural Biological,DREF,15000,181335
56,Madagascar,MDG,Africa,2/1/2011,6/1/2011,2011,Cyclone Bingiza ,Natural Hydrometeorologic meteorological,DREF,15500,305275
58,Kenya,KEN,Africa,2/1/2011,3/1/2011,2011,Population Movement ,Human related,Emergency appeal,20000,3586228
59,Tanzania,TZA,Africa,9/1/2011,9/1/2012,2011,Drought and Food insecurity,Natural Hydrometeorologic climatological and Human related,Emergency appeal,20000,1352126
60,Tanzania,TZA,Africa,12/1/2011,3/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,20000,203042
61,Kenya,KEN,Africa,12/1/2011,4/1/2012,2011,Floods,Natural Hydrometeorologic hydrological,DREF,21000,300003
62,Kenya,KEN,Africa,3/1/2011,4/1/2011,2011,Fires,Natural Hydrometeorologic climatological,DREF,23335,205575
64,Chad,TCD,Africa,12/2/2011,3/2/2012,2011,Food Insecurity,Human related,DREF,25000,231613
65,Niger,NER,Africa,6/1/2011,9/1/2011,2011,Population movement ,Human related,DREF,30000,250318
66,Zimbabwe,ZWE,Africa,7/1/2011,12/1/2011,2011,Cholera,Natural Biological,DREF,30000,226353
67,Namibia,NAM,Africa,4/1/2011,9/1/2011,2011,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,37457,1811530
