ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
115,North Korea Transport,4/1/2004,Europe/Asia,North Korea,PRK,,110000,,,,,,,,,,,,,,,,110000
116,Dominican Republic Floods,5/1/2004,LAC,Dominican Republic,DOM,,0,1,10930,,,2350,,150,,5000,,,1000,,,,220135
116,Haiti Floods,5/1/2004,LAC,Haiti,HTI,,20007,,,,,,,,,,,,,2,,,44558
117,Jamaica Conflict,5/1/2004,LAC,Jamaica,JAM,,0,0,1000,500,,,,,,500,,,,,,,3000
116,Malawi Epidemic,5/1/2004,Africa,Malawi,MWI,,0,,12380,,,,,,,12360,,,20,,,,61220
116,Dominican Republic Floods,7/1/2004,LAC,Dominican Republic,DOM,,0,1,,,,,,,,,,,,,,,110266
116,Haiti Floods,7/1/2004,LAC,Haiti,HTI,,0,,,,,,,,,,,,,,,,97442
121,Bangladesh Floods,8/1/2004,Europe/Asia,Bangladesh,BGD,,35975,,,,,,,,,,,,,,,,35975
119,Paraguay Miscellaneous,8/1/2004,LAC,Paraguay,PRY,,18675,,,,,,,,,,,,,,,,18675
120,Sudan Conflict,8/1/2004,Africa,Sudan,SDN,,242000,1,,,,,,,,,,,,,,,247400
120,Chad Conflict,8/1/2004,Africa,Chad,TCD,,100000,,,,,,,,,,,,,,,,100000
122,Taiwan Storm,8/1/2004,Europe/Asia,Taiwan,TWN,,59897,,,,,,,,,,,,,,,,59897
123,Cayman Islands Storm,9/1/2004,LAC,Cayman Islands,CYM,,100000,1,2346,1000,,321,,25,,,,,,,,,112854
123,Grenada Storm,9/1/2004,LAC,Grenada,GRD,,300000,2,486,,,481,,5,,,,,,,,,302452
124,Haiti Floods,9/1/2004,LAC,Haiti,HTI,,400000,1,110,,,,,,,,,,110,,,,401375
123,Jamaica Storm,9/1/2004,LAC,Jamaica,JAM,,100000,1,7314,,5000,802,,,,,,,1105,,,,131047
123,Bahamas Storm,9/1/2004,LAC,Bahamas,BHS,,100000,4,,,,,,,,,,,,,,,100000
125,Costa Rica Floods,11/1/2004,LAC,Costa Rica,CRI,,0,,750,750,,,,,,,,,,,,,2655
127,Indonesia Tsunami,12/1/2004,Europe/Asia,Indonesia,IDN,,1666667,5,,,,,,,,,,,,,,,477328824
127,Sri Lanka Tsunami,12/1/2004,Europe/Asia,Sri Lanka,LKA,,1837067,17,,,,,,,,,,,,,,,103848910
127,Maldives Tsunami,12/1/2004,Europe/Asia,Maldives,MDV,,1666667,2,,,,,,,,,,,,,,,1822267
126,Panama Floods,12/1/2004,LAC,Panama,PAN,,0,,,,,,,,,,,,,,,,0
128,Guyana Floods,1/1/2005,LAC,Guyana,GUY,,0,2,,,,,,,,,,,,,,,13100
129,Canada Floods,6/1/2005,North America,Canada,CAN,,5000,,,,,,,,,,,,,,,,5000
130,Hurricane Dennis - Grenada,7/1/2005,LAC,Grenada,GRD,,75000,,,,,,,,,,,,,,,,75000
130,Hurricane Dennis - Haiti,7/1/2005,LAC,Haiti,HTI,,100000,,9995,,,,,,,,,,,,,,108693
130,Hurricane Dennis - Jamaica,7/1/2005,LAC,Jamaica,JAM,,25000,,25,,,,,25,,,,,,,,,32475
131,Sahel Food Crisis,7/1/2005,Africa,Niger,NER,,0,3,,,,,,,,,,,,,,,36200
132,Hurricane Katrina,8/1/2005,North America,United States of America,USA,,0,3,,,,,,,,,,,,,,,0
134,Hurricane Stan - Guatemala,10/1/2005,LAC,Guatemala,GTM,,47581,,,,,,,,,,,,,,,,47581
134,Hurricane Stan - Mexico,10/1/2005,LAC,Mexico,MEX,,342378,,,,,,,,,,,,,,,,342378
136,Hurricane Wilma - Mexico,10/1/2005,LAC,Mexico,MEX,300000,453869,,4500,4500,,,,,,,,,,,,,497744
133,Pakistan Earthquake,10/1/2005,Europe/Asia,Pakistan,PAK,3500000,7750000,4,325618,18000,222900,,28000,5200,18000,30518,,,3000,,,,12558310
135,El Salvador Hurricane Stan & Volcano Eruption,10/1/2005,LAC,El Salvador,SLV,,7034,1,,,,,,,,,,,,,,,7034
137,Vietnam Typhoon Damrey,10/1/2005,Europe/Asia,Vietnam,VNM,,21068,,,,,,,,,,,,,,,,21068
136,Hurricane Wilma - Bahamas,10/1/2005,LAC,Bahamas,BHS,,0,,2372,2372,,,,,,,,,,,,,20597
138,Colombia Volcano,11/1/2005,LAC,Colombia,COL,,0,,45,,,,,45,,,,,,,,,17402
139,Southern Africa Food Security Crisis - Lesotho,1/1/2006,Africa,Lesotho,LSO,,100000,3,,,,,,,,,,,,,,,100000
139,Southern Africa Food Security Crisis - Malawi,1/1/2006,Africa,Malawi,MWI,,150000,,,,,,,,,,,,,,,,150000
139,Southern Africa Food Security Crisis - Zambia,1/1/2006,Africa,Zambia,ZMB,,400000,,,,,,,,,,,,,,,,400000
139,Southern Africa Food Security Crisis - Zimbabwe,1/1/2006,Africa,Zimbabwe,ZWE,,250000,,,,,,,,,,,,,,,,250000
143,Philippines Mudslides,2/1/2006,Europe/Asia,Philippines,PHL,,55000,,,,,,,,,,,,,,,,55000
142,Timor-Leste Floods,2/1/2006,Europe/Asia,Timor,TLS,,50000,,,,,,,,,,,,,,,,50000
141,Iraq Humanitarian Emergency,3/1/2006,Europe/Asia,Iraq,IRQ,,188443,,,,,,,,,,,,,,,,188443
